"index","original_content","translated_content"
"21","September 9, 9:52 AM",""
"23","District Court",""
"25","Defendant Lobby No. 1",""
"45","Well...",""
"48"," I guess",""
"50","this is it!",""
"55","Yeah.",""
"57","One way or another,",""
"59"," this",""
"61","case gets decided today.",""
"68","Aaa!",""
"70"," ",""
"72","Ph-",""
"74","Phoenix!",""
"76"," Look!",""
"92","(...!)",""
"94","(Prosecutor...",""
"96"," Edgeworth.)",""
"102","I received a call from the",""
"104","Chief Prosecutor's office",""
"106","yesterday.",""
"109","?",""
"113","I was told that whatever",""
"115","Mr. White says today,",""
"117"," it will",""
"119","be the ""absolute truth.""",""
"122","No matter how you try to",""
"124","attack his testimony...",""
"126","If I raise an objection,",""
"129","I have it on good faith that",""
"131","the judge will listen to me.",""
"136","(What,",""
"138"," does White have the",""
"140","judge in his pocket,",""
"142"," too!?)",""
"145","So...",""
"147"," you're saying I'm going",""
"149","to be guilty.",""
"151"," End of story?",""
"156","...",""
"160","I will do anything to get my",""
"162","verdict,",""
"164"," Mr. Wright.",""
"166"," Anything.",""
"174","Why...",""
"177","Why!?",""
"179","How can you torment an ",""
"181","innocent person like this!?",""
"193","""Innocent""...?",""
"197","How can we know that?",""
"199","The guilty will always lie,",""
"202","to avoid being found out.",""
"205","There's no way to tell",""
"207","who is guilty and who",""
"209","is innocent!",""
"211","All that I can hope to do",""
"213","is get every defendant",""
"215","declared ""guilty""!",""
"218","So I make that my policy.",""
"222","Edgeworth...",""
"227","You've changed.",""
"236","Hmm?",""
"240","Phoenix!",""
"244","You know him!?",""
"255","Don't expect any special",""
"257","treatment,",""
"259"," Phoenix Wright.",""
"275","Ph-",""
"277","Phoenix...?",""
"282","Well...",""
"284"," court will be",""
"286","starting soon.",""
"292","What?",""
"294"," But wait!",""
"297","Your defense attorney isn't",""
"299","even here yet!",""
"301"," They're not...",""
"305","I'll be defending myself.",""
"313","Whaa",""
"315","aat!?",""
"320","Okay,",""
"322"," let's do this.",""
"342","September 9, 10:00 AM",""
"344","District Court",""
"346","Courtroom No. 1",""
"375","Court is now in session",""
"377","for the trial of Mr. Phoenix",""
"379","Wright.",""
"385","The prosecution is ready,",""
"388","Your Honor.",""
"397","The defense is ready,",""
"400","Your Honor.",""
"405","Mr. Wright...",""
"408","Are you sure you're",""
"410","up to doing this?",""
"415","Yes,",""
"417"," Your Honor.",""
"420","I will be ",""
"422","defending myself.",""
"428","Understood.",""
"431","Very well.",""
"433"," Mr. Edgeworth,",""
"435"," your",""
"437","opening statement,",""
"439"," please.",""
"444","As the details of the event",""
"446","are already quite clear to",""
"448","the court,",""
"450","today we will hear the ",""
"452","testimony of a witness",""
"454","to the defendant's crime.",""
"462","I see.",""
"465","The prosecution may call",""
"467","its witness.",""
"473","(That went far too smoothly!)",""
"476","(Why didn't the judge ask",""
"478","Edgeworth why his witness",""
"480","didn't testify before!?)",""
"482","(It's like...",""
"484"," it's like",""
"486","he already knows why!)",""
"488","(Hmm.",""
"490"," If anyone's going to",""
"492","raise an objection about",""
"494","this,",""
"496"," I suppose it's me...)",""
"515","Mr. Edgeworth,",""
"517"," you owe an",""
"519","explanation to the court!",""
"521","Why didn't this witness",""
"523","testify in the trial against",""
"525","Ms. Maya Fey!?",""
"537","Hmph.",""
"540","I'm ever so sorry!",""
"542","Mr. White is a busy man,",""
"545","and besides...",""
"547","at the time,",""
"549"," I thought that",""
"551","Ms. May's opinion was all",""
"553","that would be needed.",""
"555","Again,",""
"557"," my sincerest",""
"559","apologies to the court.",""
"568","Excellent,",""
"570"," Mr. Edgeworth.",""
"573","I appreciate your demeanor.",""
"581","...",""
"589","(Great.",""
"591"," He gets to show",""
"593","off and I get nowhere.)",""
"603","(Forget it.",""
"606","I smell a trap.)",""
"615","I would like to call",""
"617","Mr. Redd White to the stand!",""
"638","Please state your full name.",""
"650","You wish to know the",""
"652","title of my personage?",""
"661","Er...",""
"663"," your name?",""
"674","Yes!",""
"676"," That is what I said!",""
"678","Oh dear,",""
"680"," do my ",""
"683","locutions confuse?",""
"695","Name!",""
"701","(These two are great",""
"703","together...)",""
"709","My name is Redd White.",""
"712","But my friends call me",""
"714","Blanco Nino.",""
"716","I am the CEO,",""
"718"," or to use a more",""
"720","common term,",""
"722"," the President,",""
"725","of Bluecorp.",""
"734","Did you know the victim,",""
"737","Ms. Mia Fey?",""
"749","That would be a ",""
"751","negatory!",""
"754","No,",""
"756"," I did not.",""
"765","...",""
"768","You were at the Gatewater",""
"770","Hotel the night of the",""
"772","murder?",""
"781","Correct.",""
"786","And you witnessed the",""
"788","murder from there?",""
"797","Ahem.",""
"799"," Why tell you what",""
"801","you already know?",""
"806","Very well,",""
"808"," Mr. White.",""
"810"," You",""
"812","may begin your testimony.",""
"818","(If I can't rip this guy's",""
"820","testimony apart,",""
"822"," I'm",""
"824","done for.)",""
"827","(Why do I always feel like",""
"829","it's the end of the world and",""
"831","I'm the last man standing?)",""
"839","Ho ",""
"841","hoh ",""
"843","hoh.",""
"851","I hope you have made your",""
"853","peace with God,",""
"855"," Mr. Lawyer!",""
"867","...!",""
"873","Let him have it,",""
"875"," Phoenix!",""
"895","-- Witness's Account --",""
"908","Let's see,",""
"910"," it was about",""
"912","9:00,",""
"914"," I believe.",""
"916","I was quietly perusifying...",""
"919","er,",""
"921"," that's ""reading"" to you,",""
"924","some papers by the window.",""
"927","Then I heard a ",""
"929","bedlam",""
"931","coming from outside!",""
"934","Surprised,",""
"936"," I turned to",""
"938","look at the building",""
"940","across the way.",""
"944","It was ",""
"947","then I saw him:",""
"950","a spiky-haired man attacking",""
"952","a woman with long hair!",""
"954","Needless to say that man was",""
"956","none other than you,",""
"960","Mr. Lawyer!",""
"963","I called Miss May over",""
"966","at once.",""
"968"," She,",""
"970"," too,",""
"972"," was",""
"974","flabbergasted of course.",""
"979","The victim,",""
"981"," she...",""
"983"," she ran",""
"985","away,",""
"987"," but you gave chase!",""
"1006","Finally there was a",""
"1008","terrible impaction!",""
"1011","Then it was all over...",""
"1025","Hmm...",""
"1029","If things occurred as you",""
"1031","testify,",""
"1033"," then I'm afraid the",""
"1035","defendant is guilty.",""
"1038","Very well,",""
"1040"," defendant...",""
"1044"," er,",""
"1047","I mean,",""
"1050"," Mr. Wright.",""
"1053","Your cross-examination...",""
"1058","Yes,",""
"1060"," Your Honor.",""
"1083","-- Witness's Account --",""
"1103","Let's see, it was about",""
"1105","9:00, I believe.",""
"1118","I was quietly perusifying...",""
"1120","er, that's ""reading"" to you,",""
"1122","some papers by the window.",""
"1135","Then I heard a bedlam",""
"1137","coming from outside!",""
"1150","Surprised, I turned to",""
"1152","look at the building",""
"1154","across the way.",""
"1167","It was then I saw him:",""
"1169","a spiky-haired man attacking",""
"1171","a woman with long hair!",""
"1184","Needless to say that man was",""
"1186","none other than you,",""
"1188","Mr. Lawyer!",""
"1200","I called Miss May over",""
"1202","at once. She, too, was",""
"1204","surprised of course.",""
"1218","The victim, she... she ran",""
"1220","away, but you gave chase!",""
"1231","The victim ran to the left,",""
"1233","and you gave chase!",""
"1246","Finally there was a",""
"1248","terrible impaction!",""
"1250","Then it was all over...",""
"1261","(Did Edgeworth ""prep"" this guy,",""
"1264","too,",""
"1266"," I wonder?)",""
"1268","(Anyway,",""
"1270"," I'd better find",""
"1272","a weakness in there...)",""
"1291","How do you know what time",""
"1293","it was?",""
"1302","Because I am always",""
"1304","abso-posi-lutely perfect,",""
"1307","you know?",""
"1319","No no no,",""
"1321"," you're not getting",""
"1324","away with that!",""
"1333","You are so mistrusting,",""
"1336","Mr. Lawyer!",""
"1339","So...",""
"1341"," what was the proper",""
"1343","term for ""secretary"" again...?",""
"1347","Anyway,",""
"1349"," Miss May ordered",""
"1351","room service for 9:00.",""
"1353","It happened soon after the",""
"1355","room service arrived.",""
"1361","(Hmm.",""
"1363"," That's what Miss May",""
"1365","said,",""
"1367"," too.)",""
"1380","True,",""
"1382"," the bellboy who brought",""
"1384","the coffee saw Miss May.",""
"1394","But he testified that he",""
"1396","did not see you at the time!",""
"1405","Ahem.",""
"1407"," This is your concern?",""
"1411","Silly Lawyer!",""
"1413"," Miss May ",""
"1415","received the coffee outside",""
"1417","the room!",""
"1422","Of course he could not see me.",""
"1425","He would need X-ray vision to",""
"1427","pull off something like that!",""
"1434","(Hmm...)",""
"1440","Tell us,",""
"1442"," what were you",""
"1444","doing at that time?",""
"1463","(I don't see anything to gain",""
"1465","by attacking him on this",""
"1467","point any further.)",""
"1471","Okay,",""
"1473"," what were you",""
"1475","doing at the time?",""
"1493","By window,",""
"1495"," you mean the one",""
"1497","directly across from Fey ＆ Co.",""
"1499","Law Offices?",""
"1511","Correct!",""
"1513"," That is the only",""
"1515","window,",""
"1517"," you see.",""
"1522","And there you were",""
"1524","reading...",""
"1526"," papers?",""
"1538","Correct!",""
"1543","The Gatewater is a business-",""
"1545","man's hotel,",""
"1547"," and I am a busy",""
"1549","man who had business to do!",""
"1568","A ""bedlam""?",""
"1577","It must have been when",""
"1579","you attacked,",""
"1581"," I assume.",""
"1586","We see.",""
"1588"," Continue.",""
"1606","So you were reading your",""
"1608","papers until you heard",""
"1610","that sound?",""
"1619","But of course.",""
"1621"," I am",""
"1623","no snoop,",""
"1625"," peeping out of",""
"1627","windows at night.",""
"1633","(No snoop?",""
"1635"," Yeah,",""
"1637"," right!",""
"1640","You've made a career ",""
"1642","out of snooping!)",""
"1664","S-",""
"1666","spiky-",""
"1668","haired!?",""
"1690","What you ",""
"1693","just said directly",""
"1695","conflicts with Miss May's",""
"1697","testimony!",""
"1699","Miss May clearly stated that",""
"1701","the assailant looked like",""
"1703","a ""girl""!",""
"1708","I've always been proud",""
"1710","of my eyesight,",""
"1712"," Mr. Lawyer.",""
"1718","Just what is your eyesight?",""
"1730","Counting both eyes...",""
"1732"," 40!",""
"1744","40!?",""
"1746"," Don't add them together!",""
"1756","I think the witness is trying",""
"1758","to say his eyesight is good.",""
"1764","(Hey,",""
"1766"," whose side is the",""
"1768","judge on,",""
"1770"," anyway?)",""
