"index","original_content","translated_content"
"16","September 7, 10:00 AM",""
"18","District Court",""
"20","Courtroom No. 1",""
"48","Court is now in session for",""
"50","the trial of Ms. Maya Fey.",""
"56","The prosecution is",""
"58","ready,",""
"60"," Your Honor.",""
"69","The defense",""
"71","is ready,",""
"73"," Your Honor.",""
"78","(Miles Edgeworth...)",""
"81","(I'd better not show any signs",""
"83","of weakness today,",""
"85"," or he'll",""
"87","be on me in an instant.)",""
"94","Mr. Edgeworth.",""
"97","Please give the court",""
"99","your opening statement.",""
"104","Thank you,",""
"106"," Your Honor.",""
"109","The defendant,",""
"111"," Ms. Maya Fey,",""
"114","was at the scene of the crime.",""
"116","The prosecution has evidence",""
"118","she committed this murder...",""
"120","and we have a witness",""
"122","who saw her do it.",""
"124","The prosecution sees no",""
"126","reason to doubt the facts",""
"128","of this case,",""
"130"," Your Honor.",""
"136","I see.",""
"141","Thank you, Mr. Edgeworth.",""
"144","Let's begin then.",""
"150","If we may call our first",""
"152","witness, Your Honor.",""
"154","The prosecution calls the",""
"156","chief officer at the scene,",""
"159","Detective Gumshoe!",""
"177","Witness,",""
"179"," please state your",""
"181","name and profession to",""
"183","the court.",""
"191","Sir!",""
"193","My name's Dick Gumshoe,",""
"195"," sir!",""
"197","I'm the detective in",""
"199","charge of h",""
"201","omicides",""
"203","down at the precinct,",""
"205"," sir!",""
"210","Detective Gumshoe.",""
"212","Please, describe for us",""
"214","the details of this murder.",""
"225","Very well,",""
"227"," sir!",""
"230","Let me use this floor map",""
"232","of the office to explain.",""
"248","The body was found by",""
"250","this window, ",""
"252","here.",""
"256","And the cause of death?",""
"259","Loss of blood due to being",""
"261","struck by a blunt object,",""
"263"," sir!",""
"267","The murder weapon was a statue",""
"269","of ",""
"271","""The Thinker""",""
"273"," found next",""
"275","to the body,",""
"277"," sir!",""
"281","It was heavy enough to",""
"283","be a deadly weapon,",""
"285"," even",""
"287","in a girl's hands, ",""
"289","sir!",""
"305","The court accepts the",""
"307","statue as evidence.",""
"316","(They're still calling",""
"318","it a ""statue""...)",""
"327","Floor Plans added to",""
"329","the Court Record.",""
"337","Now,",""
"339"," Detective...",""
"351","Y-",""
"353","yes sir!",""
"362","You immediately arrested",""
"364","Ms. Maya Fey,",""
"366"," who was found",""
"368","at the scene, ",""
"370","correct?",""
"372","Can you tell me why?",""
"384","Yes, sir!",""
"387","I had hard evidence",""
"389","she did it,",""
"391"," sir!",""
"397","Hmm...",""
"401","Detective Gumshoe.",""
"404","Please testify to the court",""
"406","about this ",""
"408","""hard evidence.""",""
"431","-- Maya Fey's Arrest --",""
"444","As soon as the phone call came",""
"446","in,",""
"448"," I rushed to the scene!",""
"450","There were two people",""
"452","there already:",""
"454","The defendant,",""
"456"," Ms. Maya Fey,",""
"459","and the lawyer,",""
"461"," Mr. Phoenix",""
"463","Wright.",""
"466","I immediately arrested",""
"468","Ms. Maya Fey!",""
"475","Why?",""
"477"," We had a witness",""
"479","account describing her!",""
"482","The witness saw Ms. Maya",""
"484","Fey at the very moment of",""
"486","the murder!",""
"500","Hmm...",""
"505","The very moment,",""
"507"," you say.",""
"509","Very well.",""
"511"," Mr. Wright,",""
"513","you may begin your",""
"515","cross-examination.",""
"521","Y-",""
"523","yes, Your Honor.",""
"527","(Cross-examine what...?)",""
"530","(I couldn't see a single",""
"532","contradiction in that",""
"534","testimony...)",""
"544","...whoosh...",""
"549","    ",""
"554","SMACK!",""
"562","(Hey! Maya just threw",""
"564","something at me...)",""
"576","(What's this?)",""
"579","(""When my sister couldn't",""
"581","find any contradictions",""
"583","in a witness's testimony"")",""
"585","(""she would bluff it and",""
"587","press the witness on",""
