"index","original_content","translated_content"
"21","September 9, 9:52 AM","9 вересня, 9:52"
"23","District Court","Окружний суд"
"25","Defendant Lobby No. 1","Вестибюль обвинувачених №1"
"45","Well...","Ну..."
"48"," I guess"," Я гадаю,"
"50","this is it!","це воно!"
"55","Yeah.","Та."
"57","One way or another,","Сяк чи так,"
"59"," this"," ця"
"61","case gets decided today.","справа буде вирішена сьогодні."
"68","Aaa!","Ааа!"
"70"," "," "
"72","Ph-","Ф-"
"74","Phoenix!","Феніксе!"
"76"," Look!"," Дивися!"
"92","(...!)","(!..)"
"94","(Prosecutor...","(Прокурор..."
"96"," Edgeworth.)"," Еджворт.)"
"102","I received a call from the","Мені вчора подзвонили з"
"104","Chief Prosecutor's office","Офісу"
"106","yesterday.","генпрокурора."
"109","?","?"
"113","I was told that whatever","Сказали, "
"115","Mr. White says today,","що будь-які слова пана"
"117"," it will"," Червуда будуть"
"119","be the ""absolute truth.""","«абсолютною істиною»."
"122","No matter how you try to","Неважливо, як ви"
"124","attack his testimony...","заперечуватимете його показання..."
"126","If I raise an objection,","Якщо я запротестую,"
"129","I have it on good faith that","впевнений, суддя"
"131","the judge will listen to me.","вислухає мене."
"136","(What,","(Що,"
"138"," does White have the"," невже Червуд навіть"
"140","judge in his pocket,","суддю тримає в"
"142"," too!?)"," кулаці?!)"
"145","So...","Тож..."
"147"," you're saying I'm going"," мене все одно"
"149","to be guilty.","визнають винним."
"151"," End of story?"," І на цьому кінець?"
"156","...","..."
"160","I will do anything to get my","Я зроблю що завгодно заради"
"162","verdict,","вердикту,"
"164"," Mr. Wright."," Пане Райт."
"166"," Anything."," Що завгодно."
"174","Why...","Чому..."
"177","Why!?","Чому?!"
"179","How can you torment an ","Як ви можете знущатися над "
"181","innocent person like this!?","невинною людину?!"
"193","""Innocent""...?","«Невинною»?.."
"197","How can we know that?","А звідки нам знати?"
"199","The guilty will always lie,","Винний завжди брехатиме,"
"202","to avoid being found out.","аби уникнути відповідальності."
"205","There's no way to tell","Ми не можемо точно сказати,"
"207","who is guilty and who","хто винний, а хто"
