"index","original_content","translated_content"
"29","September 7","7 вересня"
"31","Fey ＆ Co. Law Offices","Офіс фірми «Фей та партнери»"
"41","Looks like forensics is","Схоже у криміналістів"
"43","taking the day off today.","сьогодні вихідний."
"45","Detective Gumshoe's","І Детектива Гамшу теж"
"47","nowhere in sight.","
ніде не видно."
"49","The police really gave","Поліція тут добряче"
"51","this place a working over.","все перекопала."
"53","I doubt there are any","Напевно, важливих"
"55","valuable clues left.","доказів я тут не знайду."
"57","Suppose it can't hurt to","Хоча не зашкодить ще раз"
"59","take a look around,","роздивитися"
"61"," though."," навколо."
"70","Mia's favorite potted plant.","Улюблена кімнатна рослина Мії."
"72","I guess I'll have to","Схоже, тепер мені"
"74","water it now...","доведеться її поливати..."
"83","You couldn't cram more legal","Більше юридичних книг"
"85","books in here,","сюди не запхати,"
"87"," even if you"," навіть якби"
"89","wanted to.","хотілося."
"91","All the cases that the chief","Усі справи, над якими"
"93","worked on are filed here.","працювала шефиня, зберігаються тут."
"95","Hmm.","Гм-м."
"97"," Are some of the files"," Хіба не бракує"
"99","missing...?","якихось документів?.."
"101","Nah,","Ні,"
"103"," I'm imagining things."," щось я вже вигадую."
"112","The sky is blue,","Край неба синіє,"
"114"," and so am I...","і серце крається"
"116","There's that hotel,","А ось і той"
"119","right across the way.","готель навпроти."
"128","Mia's desk.","Робочий стіл Мії."
"130","Perfectly clean,","Чистенький аж"
"132"," as always."," блищить."
"134","The only thing it's","Тут лише "
"136","missing is...","бракує..."
"138"," Mia."," Мії."
"147","An old movie poster.","Стара кіноафіша."
"149","Apparently,","Начебто —"
"151"," this was the"," це був перший фільм,"
"153","first movie that made Mia","який змусив Мію"
"155","cry when she saw it.","плакати при перегляді."
"157","I'll have to check it","Треба буде "
"159","out one of these days.","колись переглянути."
"169","No clues here.","Нічого корисного."
"178","It's funny,","Цікаво"
"180"," looking at "," розглядати "
"182","this room,","цю кімнату,"
"184"," it seems..."," вона здається такою..."
"187","so normal.","звичайною."
"189","Hard to imagine a murder took","В голові не вкладається,"
"191","place here.","що тут сталося вбивство."
"193","Mr. Grossberg said there","Пан Ґоверленн казав, що"
"195","would be clues...","тут мають бути докази..."
"197","Maybe I should have","Треба"
"199","another look.","знову роздивитися."
"209","Mia's favorite potted plant.","Улюблена кімнатна рослина Мії."
"211","I guess I'll have to","Схоже, тепер мені"
"213","water it now...","доведеться її поливати..."
"223","All the cases the chief","Усі справи, над якими"
"225","ever worked on are filed","працювала шефиня, зберігаються"
"227","here.","тут."
"229","They're in alphabetical order.","Вони розташовані за абеткою."
"232","Let's take a look...","Так, подивимося..."
"234","Which file should","Який файл"
"236","I look at...?","мені переглянути?.."
"246","Let's see if there's","Погляньмо чи є в документах"
"248","""A"" record in this file","запис «А», що припаде"
"250","that catches my ""I.""","до мого «О»."
"252","""A""...","«А»..."
"254"," ""B""..."," «Б»..."
"256"," ""F""!"," «М»!"
"260","""Misty Fey.""","«Місті Фей»."
"263","That's Mia and Maya's mother.","Це мати Маї та Мії."
"265","Hmmm...","Гм-м..."
"267"," Should I take a look?"," Прочитати його?"
"276","I don't think it has","Не думаю, що"
